state_county_fips,b_pct_totalchildren_in_femaleonlyhouseholds,b_pct_totalchildrent_in_femalehouseholds_inlaborforce,b_pct_womenworkingparttime,b_pct_women15to50_withbirth12m,b_pct_totalchildren_per_women15to50,b_pct_education_hsplus,b_pct_education_less_than_hs,b_householdincome_clipped,b_householdincome_scaled,b_pct_foreign_born,b_pct_families_150_pct_below_poverty,b_pct_singleparents_with_kids,b_pct_nointernet,b_pct_noplumbing,b_pct_nocar,b_pct_families_below_poverty,b_pct_crowded_rooms,b_pct_owner_occupied_housing,b_pct_employment_16plus_whitecollar,b_pct_employment_over16,b_pct_employment_inlaborforce,b_pct_employment_primeage,b_pct_unemployment_over16,b_pct_unemployment_inlaborforce,b_pct_unemployment_primeage,b_pct_housing_vacant,b_pct_acctandauditfemale,i_adi_poverty,i_adi_housing,i_adi_employment,i_adi_education,i_adi_manual,i_adi,i_dci,dci_population,dci_county_type,i_vitality,metro_pct,i_sdi
28023,0.35799601857996016,0.3300462249614792,0.24439986626546306,0.03422838595455887,0.8893478902331071,0.8637630014858841,0.13623699851411586,46054.0,-1.0559254521454042,0.029110477178423237,0.3384801888598226,0.1456932436759526,0.002241434518091579,0.10674525212835625,0.07796990073647134,0.16756878664862426,0.012808197246237591,0.840537944284342,0.5534473996273082,0.9633755409520757,0.9281446540880504,0.7554285714285714,0.03662445904792435,0.07185534591194968,0.24457142857142855,0.18192534381139489,,0.24978114742582405,0.10401663360412554,-0.04619949347256539,-0.08094880200594354,0.22664948555144063,88.76470588235294,88.1658692185008,15424.0,Rural,-0.7785850097905554,1.0,0.55840319
28025,0.5085948158253751,0.4120358514724712,0.13702106064450648,0.06335576699930379,0.8505453701554885,0.8276758289359691,0.17232417106403086,39904.0,-1.4002880788146126,0.06797746722998592,0.4974417282546902,0.15773809523809523,0.0015527950310559005,0.0825677919203099,0.07621635610766045,0.20614035087719298,0.002976190476190476,0.7071687370600414,0.5395560614684121,0.9657469077069458,0.9330855018587361,0.9104477611940298,0.03425309229305423,0.06691449814126393,0.08955223880597019,0.14465965688987273,,0.281505386390839,0.11951794298596734,-0.04529904344385602,-0.07351845317791604,0.2822058327550343,88.88235294117646,84.1786283891547,18462.0,Rural,-0.8639378641854859,0.7777777777777778,0.97428572
28027,0.5855098796275267,0.45376432078559736,0.21924212598425197,0.06729166666666667,0.9172916666666666,0.8197284101312176,0.18027158986878244,36259.0,-1.6043859282795334,0.021193771626297576,0.59429302284555,0.27448895190830674,0.0,0.04279544562230075,0.14699279215408248,0.30905550146056476,0.013943046201110717,0.5197920359210682,0.5546444414571851,0.9463841194868194,0.8985384708298103,0.864406779661017,0.05361588051318057,0.10146152917018963,0.13559322033898302,0.1693168433451119,,0.3757018106114479,0.1477062780392965,-0.04386678407580917,-0.0718820796460177,0.4076592249289175,94.45833333333333,98.1180223285486,20808.0,Rural,-1.0024576271073011,0.6666666666666666,1.7536386
28029,0.46834190740007914,0.42119181946403383,0.2405484818805093,0.038930210476341195,0.7998100965342617,0.8634760431927939,0.13652395680720608,47994.0,-0.9472972414562556,0.02668428949060513,0.42950510148505866,0.13618009287300625,0.0024227740763173833,0.09448502849803324,0.09186351706036745,0.14962669510894408,0.004845548152634767,0.7406622249141934,0.6206051465736638,0.9680330784278854,0.9365289548022598,1.05994455994456,0.03196692157211453,0.06347104519774012,-0.05994455994456005,0.20478445853736854,,0.23732794712718952,0.14966379411925246,-0.0532182964739058,-0.08088971729339627,0.2528837274791399,88.52173913043478,93.5885167464115,27994.0,Rural,-0.6362595812672605,0.2222222222222222,0.99320227
28031,0.18368479467258603,0.17971306317644098,0.15813598166539344,0.06855249745158003,0.9184505606523955,0.8470973017170891,0.15290269828291092,47001.0,-1.0028992070306497,0.015198068693075826,0.4695680102778224,0.11258652352027122,0.01850543862127419,0.09545454545454546,0.07402175448509676,0.16707267559886319,0.008758299194801526,0.7598530865941517,0.5542533579141428,0.9736749241301432,0.9531818752353458,0.8193869096934548,0.026325075869856728,0.0468181247646542,0.18061309030654515,0.15322966507177033,,0.23440103660092126,0.1544255545321847,-0.048343489209951816,-0.07751733442354863,0.26296576749960554,90.6875,73.5885167464115,18226.0,Rural,-0.6378019114306839,0.8888888888888888,0.72160947
28033,0.20975418281732985,0.21483229320572475,0.23584159240443076,0.05984459205414212,0.8514433721853198,0.9143441965002408,0.08565580349975921,82980.0,1.011706149868772,0.07681417618426495,0.21752320375320003,0.16338511690971771,0.0012837711137075021,0.006710231415224259,0.036205230285458766,0.0785028155018218,0.009794163889970718,0.7779652949067463,0.6053534732961888,0.9750076611392965,0.9625800399690037,0.9538461538461539,0.024992338860703463,0.03741996003099637,0.0461538461538461,0.06398347419868766,0.7131782945736435,0.015600621982614471,-0.25541391027392407,-0.05393340848594069,-0.09136347005939958,-0.3851101668366499,59.41,4.688995215311,188598.0,Suburban,0.517577307376081,0.1111111111111111,-0.95997173
28035,0.3181848338087972,0.2410371903341652,0.32084071916941,0.06339338385442665,0.6839860235059219,0.9083813260764086,0.09161867392359135,52821.0,-0.6770145749632038,0.042036730875209864,0.4343210289891465,0.16873023349707286,0.00026916089092254896,0.027233309574720838,0.06860238207388467,0.16495521083679265,0.007099118498082229,0.5707556692012651,0.5547632707701554,0.9607496179522239,0.9375048023973568,0.9383618888424572,0.03925038204777608,0.062495197602643236,0.06163811115754281,0.11730814920408648,0.625,0.19984434662877013,0.007443826010110975,-0.04709659678457031,-0.09013571503913254,0.07005586081517826,80.92592592592592,67.8468899521531,78027.0,Small urban,-0.5165965760098136,0.3333333333333333,1.4188567
28037,0.2896253602305475,0.26115802171290714,0.27195027195027194,0.031687995124923825,0.8458257160268129,0.8679992457099754,0.13200075429002456,45618.0,-1.0803388025889449,0.02037883736120183,0.3911791650307551,0.2288911495422177,0.0,0.17708575412502905,0.038657171922685654,0.2332089552238806,0.0054255679891488644,0.8002712783994574,0.5809128630705395,0.9805523778395162,0.9570397111913358,0.6693181818181818,0.01944762216048374,0.04296028880866426,0.3306818181818182,0.31466418777597027,,0.29506213832745964,0.15953914381225293,-0.05117347184564915,-0.08182104469168394,0.3216067656023795,93.1,89.2503987240829,7655.0,Rural,-0.7287867652340144,1.0,0.11917733
28039,0.18295331161780673,0.13270907329673878,0.34210526315789475,0.1485038788326561,1.0206871074990764,0.878830856508602,0.12116914349139796,54822.0,-0.564970734968881,0.024607961399276235,0.37940797940797943,0.1675910821098423,0.012289287656334965,0.055253974408685534,0.05905383360522023,0.13117699910152741,0.013050570962479609,0.8361065796628603,0.6079170593779454,0.9580248228839291,0.9150495903406641,0.7904066736183525,0.041975177116070954,0.08495040965933592,0.20959332638164752,0.1086661496704149,,0.18898545038403367,0.018356759918237577,-0.05024888315554131,-0.08405127335512115,0.07304205379160876,77.6,57.2248803827751,24870.0,Rural,-0.41624407450834283,0.8888888888888888,0.32877567
28041,0.21424883840991224,0.21343349536014142,0.22170900692840648,0.07407407407407407,0.8440087145969499,0.806397472603416,0.193602527396584,55838.0,-0.5080809091646671,0.030305259286502392,0.2994067103109656,0.15060240963855423,0.0,0.1319836480436052,0.06652697747511786,0.1503034630489111,0.01178627553693033,0.7802514405447879,0.6031211750305998,0.9658700061733839,0.8941176470588236,0.5808580858085809,0.034129993826616106,0.10588235294117647,0.4191419141914191,0.2567646486276037,,0.16551395513450431,0.1222082868292491,-0.048068132334941324,-0.06913723960904336,0.1705168700197687,91.22222222222223,81.371610845295,13595.0,Rural,-0.5225509310911048,0.8888888888888888,0.68901545
