Sample data from Morgantown Zillow Sales,,,,,,,,,,,,,,,,,,,,
Created 11/1/23 by NDG using Zillow Data Explorer,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Broker name,Broker agent,Street address,City,Zip,State,Country,id,longitude,latitude
https://www.zillow.com/homedetails/733-Elysian-Ave-Morgantown-WV-26501/22894068_zpid/,,181000,6/30/2023,1602,sqft,112.98,6000,sqft,2,2,,,733 Elysian Ave,Morgantown,26501,WV,USA,35,-79.967357880995,39.614875968557
https://www.zillow.com/homedetails/1061-Dorsey-Ave-Morgantown-WV-26501/22894601_zpid/,,160000,6/30/2023,1372,sqft,116.62,0.29,acres,2,2,,,1061 Dorsey Ave,Morgantown,26501,WV,USA,36,-79.953144205186,39.615458729222
https://www.zillow.com/homedetails/537-Hite-St-Morgantown-WV-26501/89451960_zpid/,,187500,6/30/2023,1290,sqft,145.35,8049.89,sqft,2,2,,,537 Hite St,Morgantown,26501,WV,USA,37,-79.96109629394,39.616059627088
https://www.zillow.com/homedetails/223-Hagans-St-Morgantown-WV-26501/22895825_zpid/,,261000,6/28/2023,1476,sqft,176.83,1464.4,sqft,2,2,,,223 Hagans St,Morgantown,26501,WV,USA,38,-79.954862058388,39.624366693907
https://www.zillow.com/homedetails/34-Marcus-Dr-Morgantown-WV-26501/22892106_zpid/,,79719,6/21/2023,1120,sqft,71.18,435,sqft,2,1,,,34 Marcus Dr,Morgantown,26501,WV,USA,39,-79.941163845081,39.612979607605
https://www.zillow.com/homedetails/1129-Charles-Ave-Morgantown-WV-26505/22899190_zpid/,,199000,,1348,sqft,147.63,10018.8,sqft,2,1,,,1129 Charles Ave,Morgantown,26505,WV,USA,40,-79.938851236344,39.635173416145
https://www.zillow.com/homedetails/640-W-Virginia-Ave-Morgantown-WV-26501/22894128_zpid/,,214900,6/7/2023,1340,sqft,160.37,3998.81,sqft,2,1,,,640 W Virginia Ave,Morgantown,26501,WV,USA,41,-79.965771119231,39.61581350879
https://www.zillow.com/homedetails/428-Clark-St-Morgantown-WV-26501/22895271_zpid/,,75000,5/30/2023,1902,sqft,39.43,2848,sqft,2,1,,,428 Clark St,Morgantown,26501,WV,USA,42,-79.951212901136,39.626849268643
https://www.zillow.com/homedetails/412-Cobun-Ave-Morgantown-WV-26501/22895257_zpid/,,85000,5/26/2023,1189,sqft,71.49,1904,sqft,2,1,,,412 Cobun Ave,Morgantown,26501,WV,USA,43,-79.95166912142,39.626370093467
https://www.zillow.com/homedetails/608-1-2-Callen-Ave-Morgantown-WV-26501/22893961_zpid/,,10000,5/23/2023,1244,sqft,8.04,7840.8,sqft,2,1,,,608 1/2 Callen Ave,Morgantown,26501,WV,USA,44,-79.967600987572,39.617462347986
https://www.zillow.com/homedetails/103-Peninsula-Blvd-Morgantown-WV-26501/22895493_zpid/,,180500,5/19/2023,1275,sqft,141.57,2613.6,sqft,2,2,,,103 Peninsula Blvd,Morgantown,26501,WV,USA,45,-79.947004849579,39.6228614359
https://www.zillow.com/homedetails/613-W-Virginia-Ave-Morgantown-WV-26501/22894164_zpid/,,210000,4/25/2023,1482,sqft,141.7,0.68,acres,2,2,,,613 W Virginia Ave,Morgantown,26501,WV,USA,46,-79.965253334672,39.616280711704
https://www.zillow.com/homedetails/613-Virginia-Ave-Morgantown-WV-26501/2059471660_zpid/,,210000,4/11/2023,1255,sqft,167.33,2918.52,sqft,2,2,,,613 Virginia Ave,Morgantown,26501,WV,USA,47,-79.965253334672,39.616280711704
https://www.zillow.com/homedetails/130-Kaustin-Dr-Morgantown-WV-26501/98318943_zpid/,,199500,4/3/2023,1232,sqft,161.93,1034,sqft,2,2.5,,,130 Kaustin Dr,Morgantown,26501,WV,USA,48,-79.944342894395,39.612604381331
https://www.zillow.com/homedetails/173-Vine-St-Westover-WV-26501/22910305_zpid/,,80000,3/31/2023,792,sqft,101.01,1.38,acres,2,1,,,173 Vine St,Westover,26501,WV,USA,49,-79.968981495621,39.632182124542
https://www.zillow.com/homedetails/12-Globe-Ave-Morgantown-WV-26501/22894380_zpid/,,77700,3/14/2023,1100,sqft,70.64,4486.68,sqft,2,2,,,12 Globe Ave,Morgantown,26501,WV,USA,50,-79.962549107201,39.617332796342
https://www.zillow.com/homedetails/225-227-Green-St-Morgantown-WV-26501/250743489_zpid/,,206873,3/8/2023,1174,sqft,176.21,0.59,acres,2,1,,,225 & 227 Green St,Morgantown,26501,WV,USA,51,-79.95087205996,39.625914536653
https://www.zillow.com/homedetails/468-W-Virginia-Ave-Morgantown-WV-26501/22894119_zpid/,,185000,2/24/2023,1060,sqft,174.53,4007.52,sqft,2,1,,,468 W Virginia Ave,Morgantown,26501,WV,USA,52,-79.96383420136,39.618350665665
https://www.zillow.com/homedetails/513-Brockway-Ave-Morgantown-WV-26501/22894946_zpid/,,50000,2/24/2023,1300,sqft,38.46,2400,sqft,2,1,,,513 Brockway Ave,Morgantown,26501,WV,USA,53,-79.949606670512,39.627333842745
https://www.zillow.com/homedetails/135-Sheldon-Ave-Morgantown-WV-26501/22896799_zpid/,,40000,2/2/2023,1620,sqft,24.69,0.92,acres,2,1,,,135 Sheldon Ave,Morgantown,26501,WV,USA,54,-79.952572157107,39.615841247565
https://www.zillow.com/homedetails/433-Elysian-Ave-Morgantown-WV-26501/22894104_zpid/,,195000,1/18/2023,996,sqft,195.78,8000,sqft,2,1,,,433 Elysian Ave,Morgantown,26501,WV,USA,55,-79.964265635633,39.618890941644
https://www.zillow.com/homedetails/448-W-Virginia-Ave-Morgantown-WV-26501/22894110_zpid/,,165000,1/17/2023,1108,sqft,148.92,3999.98,sqft,2,1,,,448 W Virginia Ave,Morgantown,26501,WV,USA,56,-79.963589364969,39.618673352804
https://www.zillow.com/homedetails/1031-Curtis-Ave-Morgantown-WV-26501/22894711_zpid/,,185000,1/11/2023,1200,sqft,154.17,0.29,acres,2,2,,,1031 Curtis Ave,Morgantown,26501,WV,USA,57,-79.954150911373,39.614538914105
https://www.zillow.com/homedetails/252-Darst-St-Morgantown-WV-26505/22900098_zpid/,,132000,1/3/2023,756,sqft,174.6,1.86,acres,2,1,,,252 Darst St,Morgantown,26505,WV,USA,58,-79.932945456946,39.634745637117
https://www.zillow.com/homedetails/717-Southern-Ave-Morgantown-WV-26501/22894444_zpid/,,148000,12/19/2022,816,sqft,181.37,0.38,acres,2,1,,,717 Southern Ave,Morgantown,26501,WV,USA,59,-79.958350652142,39.617512362653
https://www.zillow.com/homedetails/641-W-Virginia-Ave-Morgantown-WV-26501/22894160_zpid/,,195000,12/16/2022,1232,sqft,158.28,6098.4,sqft,2,3,,,641 W Virginia Ave,Morgantown,26501,WV,USA,60,-79.965641904041,39.615756736633
https://www.zillow.com/homedetails/211-Hartman-Run-Rd-Morgantown-WV-26505/22900210_zpid/,,125000,12/14/2022,1280,sqft,97.66,0.33,acres,2,3,,,211 Hartman Run Rd,Morgantown,26505,WV,USA,61,-79.928451158259,39.632688911908
https://www.zillow.com/homedetails/720-Elysian-Ave-Morgantown-WV-26501/22894058_zpid/,,125000,12/8/2022,977,sqft,127.94,7840.8,sqft,2,2,,,720 Elysian Ave,Morgantown,26501,WV,USA,62,-79.96741004552,39.615033936888
https://www.zillow.com/homedetails/243-Dewey-St-Morgantown-WV-26501/22895212_zpid/,,140000,12/7/2022,780,sqft,179.49,2613.6,sqft,2,2,,,243 Dewey St,Morgantown,26501,WV,USA,63,-79.949811514512,39.625850891476
https://www.zillow.com/homedetails/511-Elmina-St-Morgantown-WV-26501/2060410823_zpid/,,96000,11/28/2022,768,sqft,125,0.33,acres,2,1,,,511 Elmina St,Morgantown,26501,WV,USA,64,-79.94952097857,39.62493965692
https://www.zillow.com/homedetails/608-Clinton-Ave-Morgantown-WV-26505/22898867_zpid/,,20000,11/21/2022,1428,sqft,14.01,0.92,acres,2,,,,608 Clinton Ave,Morgantown,26505,WV,USA,65,-79.947368578096,39.630748905355
https://www.zillow.com/homedetails/205-Hartman-Run-Rd-Morgantown-WV-26505/208903884_zpid/,,65000,11/2/2022,850,sqft,76.47,10010.09,sqft,2,1,,,205 Hartman Run Rd,Morgantown,26505,WV,USA,66,,
https://www.zillow.com/homedetails/1469-Andmore-St-Morgantown-WV-26505/22900425_zpid/,,157000,10/27/2022,1073,sqft,146.32,7300,sqft,2,1,,,1469 Andmore St,Morgantown,26505,WV,USA,67,-79.927791271949,39.629852552774
https://www.zillow.com/homedetails/259-Overdale-St-Morgantown-WV-26501/22895303_zpid/,,240500,10/21/2022,2098,sqft,114.63,3484.8,sqft,2,1,,,259 Overdale St,Morgantown,26501,WV,USA,68,-79.948080372325,39.625589527121
https://www.zillow.com/homedetails/863-Harrison-St-Morgantown-WV-26505/22899106_zpid/,,69000,10/5/2022,1360,sqft,50.74,0.48,acres,2,1,,,863 Harrison St,Morgantown,26505,WV,USA,69,-79.942025501009,39.632168617156
https://www.zillow.com/homedetails/31-Linden-St-Westover-WV-26501/22910436_zpid/,,150000,9/28/2022,943,sqft,159.07,6098,sqft,2,1,,,31 Linden St,Westover,26501,WV,USA,70,-79.974375678017,39.631265350675
https://www.zillow.com/homedetails/9-Willow-Ln-Morgantown-WV-26505/22890453_zpid/,,200000,9/11/2023,1428,sqft,140.06,0.37,acres,2,2.5,,,9 Willow Ln,Morgantown,26505,WV,USA,71,-79.953166491802,39.653466884706
https://www.zillow.com/homedetails/448-Westwood-Ave-Star-City-WV-26505/22903125_zpid/,,45000,8/23/2023,920,sqft,48.91,0.92,acres,2,1,,,448 Westwood Ave,Star City,26505,WV,USA,72,-79.982383543698,39.659341185566
https://www.zillow.com/homedetails/477-Civitan-St-Morgantown-WV-26505/22901053_zpid/,,225000,8/21/2023,1288,sqft,174.69,3.03,acres,2,1.5,,,477 Civitan St,Morgantown,26505,WV,USA,73,-79.975947406698,39.658334326744
https://www.zillow.com/homedetails/105-Stonegate-Cir-Morgantown-WV-26505/58260716_zpid/,,203000,7/20/2023,1280,sqft,158.59,1800,sqft,2,3,,,105 Stonegate Cir,Morgantown,26505,WV,USA,74,,
https://www.zillow.com/homedetails/425-Drummond-St-Morgantown-WV-26505/22901167_zpid/,,277000,7/14/2023,1614,sqft,171.62,9278,sqft,2,2.5,,,425 Drummond St,Morgantown,26505,WV,USA,75,-79.967025800889,39.652762600688
https://www.zillow.com/homedetails/1228-Van-Voorhis-Rd-Morgantown-WV-26505/22890149_zpid/,,171500,7/7/2023,1320,sqft,129.92,0.46,acres,2,1.5,,,1228 Van Voorhis Rd,Morgantown,26505,WV,USA,76,-79.963167133523,39.66160662958
https://www.zillow.com/homedetails/205-Morgan-Dr-Morgantown-WV-26505/22890006_zpid/,,215000,7/5/2023,1816,sqft,118.39,1.05,acres,2,1.5,,,205 Morgan Dr,Morgantown,26505,WV,USA,77,-79.971157903696,39.668659879965
https://www.zillow.com/homedetails/1293-Fairlawns-Ave-Morgantown-WV-26505/125301717_zpid/,,289000,6/30/2023,811,sqft,356.35,7405,sqft,2,1,,,1293 Fairlawns Ave,Morgantown,26505,WV,USA,78,-79.979362353938,39.652649907627
https://www.zillow.com/homedetails/1431-Rand-St-Star-City-WV-26505/22903339_zpid/,,25000,5/22/2023,1004,sqft,24.9,1.15,acres,2,1,,,1431 Rand St,Star city,26505,WV,USA,79,-79.987628599672,39.651456921065
https://www.zillow.com/homedetails/384-Frontier-Ave-Morgantown-WV-26505/117734747_zpid/,,206000,3/20/2023,1500,sqft,137.33,971,sqft,2,2.5,,,384 Frontier Ave,Morgantown,26505,WV,USA,80,-79.990801596457,39.659335026586
https://www.zillow.com/homedetails/465-Crawford-Ave-Star-City-WV-26505/22902843_zpid/,,110000,1/26/2023,1152,sqft,95.49,0.38,acres,2,1.5,,,465 Crawford Ave,Star City,26505,WV,USA,81,-79.986683375516,39.660345663974
https://www.zillow.com/homedetails/1238-Van-Voorhis-Rd-Morgantown-WV-26505/22890047_zpid/,,160000,8/27/2021,1188,sqft,134.68,0.51,acres,2,1.5,,,1238 Van Voorhis Rd,Morgantown,26505,WV,USA,82,-79.96316369196,39.66168037726
https://www.zillow.com/homedetails/469-Westwood-Ave-Star-City-WV-26505/22903046_zpid/,,120000,11/28/2022,1368,sqft,87.72,5227.2,sqft,2,2,,,469 Westwood Ave,Star City,26505,WV,USA,83,-79.982442569645,39.659586713381
https://www.zillow.com/homedetails/1340-Cain-St-Morgantown-WV-26505/22889885_zpid/,,165000,11/3/2022,1040,sqft,158.65,,,2,2,,,1340 Cain St,Morgantown,26505,WV,USA,84,-79.980799776249,39.654701551189
https://www.zillow.com/homedetails/1220-Van-Voorhis-Rd-Morgantown-WV-26505/22890125_zpid/,,177500,10/31/2022,1188,sqft,149.41,0.44,acres,2,1.5,,,1220 Van Voorhis Rd,Morgantown,26505,WV,USA,85,-79.963174534268,39.661447870031
